market,funding_total_usd,status,status_binary,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,SUM_funding_total_usd
 Curated Web ," 2,50,000 ",operating,operating,USA,CA,Los Angeles,Los Angeles,2,12/11/13,12,Q4,2013,1/13/13,6/12/13,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000
 Educational Games ," 2,50,000 ",operating,operating,USA,NJ,Newark,Jersey City,1,1/1/13,1,Q1,2013,1/1/13,1/1/13,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000
 Market Research ," 1,70,00,000 ",operating,operating,USA,CA,Santa Barbara,Summerland,3,5/1/09,5,Q2,2009,12/1/10,3/5/13,0,17000000,0,0,0,0,0,0,0,0,0,0,0,6000000,11000000,0,0,0,0,0,0,34000000
 Hardware + Software ," 10,00,214 ",operating,operating,USA,MI,Grand Rapids,Grand Rapids,1,1/1/97,1,Q1,1997,9/22/09,9/22/09,0,1000214,0,0,0,0,0,0,0,0,0,0,0,1000214,0,0,0,0,0,0,0,2000428
 Online Gaming ," 2,00,00,000 ",operating,operating,USA,CA,SF Bay Area,San Francisco,3,7/1/10,7,Q3,2010,4/1/11,6/25/14,0,20000000,0,0,0,0,0,0,0,0,0,0,0,0,10850000,0,0,0,0,0,0,30850000
 Apps ," 2,50,000 ",operating,operating,USA,DE,"Wilmington, Delaware",Wilmington,1,10/1/12,10,Q4,2012,10/26/13,10/26/13,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000
 Security ," 3,20,00,000 ",acquired,not_operating,USA,NY,New York City,New York,3,1/1/96,1,Q1,1996,2/8/06,11/25/13,0,32000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000000
 Finance ," 23,24,998 ",operating,operating,USA,NY,New York City,New York,1,1/1/10,1,Q1,2010,1/5/12,1/5/12,0,2324998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2324998
 Curated Web ," 15,00,000 ",operating,operating,USA,CA,SF Bay Area,Milpitas,1,1/1/11,1,Q1,2011,2/8/12,2/8/12,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000
 Semiconductors ," 52,00,000 ",operating,operating,USA,MA,Boston,Cambridge,3,1/1/10,1,Q1,2010,2/25/11,7/5/12,0,5200000,0,0,0,0,0,0,0,0,0,0,0,5200000,0,0,0,0,0,0,0,10400000
 Identity Management ," 3,07,00,000 ",operating,operating,USA,WA,Seattle,Bellevue,4,1/1/07,1,Q1,2007,6/6/08,12/10/13,0,30700000,0,0,0,0,0,0,0,0,0,0,0,9900000,0,11300000,500000,0,0,0,0,52400000
 Biotechnology ," 3,55,781 ",operating,operating,CAN,ON,Toronto,Toronto,2,1/1/09,1,Q1,2009,9/24/10,2/6/13,0,355781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355781
 Legal ," 65,00,000 ",acquired,not_operating,USA,OR,"Portland, Oregon",Portland,1,1/1/99,1,Q1,1999,8/22/05,8/22/05,0,6500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500000
 Finance ," 5,05,000 ",operating,operating,USA,GA,Atlanta,Alpharetta,1,6/1/08,6,Q2,2008,6/23/10,6/23/10,0,505000,0,0,0,0,0,0,0,0,0,0,0,505000,0,0,0,0,0,0,0,1010000
 CRM ," 38,44,955 ",operating,operating,USA,IL,Chicago,Chicago,3,1/1/09,1,Q1,2009,4/22/10,4/20/12,0,2444955,0,0,0,0,1400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844955
 Developer Tools ," 70,00,000 ",acquired,not_operating,USA,CA,SF Bay Area,San Francisco,2,9/1/11,9,Q3,2011,5/24/12,6/20/13,1400000,5600000,0,0,0,0,0,0,0,0,0,0,0,5600000,0,0,0,0,0,0,0,12600000
 Network Security ," 82,37,15,776 ",operating,operating,USA,CA,SF Bay Area,Milpitas,6,1/1/04,1,Q1,2004,1/1/05,1/10/14,0,84450000,0,0,0,0,0,0,0,739265776,0,0,0,6450000,13500000,14500000,0,0,50000000,0,0,908165776
 Biotechnology ," 33,95,000 ",operating,operating,USA,MA,Boston,Cambridge,4,1/1/10,1,Q1,2010,10/21/11,7/21/14,0,2000000,0,0,0,775000,0,620000,0,0,0,0,0,0,0,0,0,0,0,0,0,3395000
 Batteries ," 3,10,00,000 ",operating,operating,USA,IL,Peoria,Peoria Heights,4,5/1/03,5,Q2,2003,10/14/04,10/15/08,0,29000000,0,0,0,2000000,0,0,0,0,0,0,0,4000000,10000000,15000000,0,0,0,0,0,60000000
 Hardware + Software ," 35,00,000 ",operating,operating,USA,TX,Austin,Austin,1,6/24/10,6,Q2,2010,8/24/11,8/24/11,0,3500000,0,0,0,0,0,0,0,0,0,0,0,3500000,0,0,0,0,0,0,0,7000000
 News ," 3,27,545 ",operating,operating,USA,NC,Raleigh,Chapel Hill,1,1/1/09,1,Q1,2009,10/31/13,10/31/13,0,327545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327545
 Mobile ," 4,33,00,000 ",operating,operating,USA,FL,Miami,Miami Beach,3,1/1/03,1,Q1,2003,1/1/05,10/19/06,0,43300000,0,0,0,0,0,0,0,0,0,0,0,0,0,8500000,31800000,0,0,0,0,83600000
 IaaS ," 6,00,58,340 ",operating,operating,USA,TX,Dallas,Richardson,6,1/1/09,1,Q1,2009,3/11/10,4/16/14,0,60058340,0,0,0,0,0,0,0,0,0,0,0,2000000,10000000,10000000,12000000,25000000,0,0,0,119058340
 Software ," 1,28,36,661 ",operating,operating,USA,CA,Anaheim,Huntington Beach,5,8/26/06,8,Q3,2006,4/2/09,3/30/12,0,12836661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12836661
 Curated Web ," 1,80,00,000 ",operating,operating,USA,CA,SF Bay Area,San Francisco,2,4/1/11,4,Q2,2011,5/4/11,7/19/12,0,18000000,0,0,0,0,0,0,0,0,0,0,0,3000000,15000000,0,0,0,0,0,0,36000000
